2018rank,City,State,2018estimate,2010Census,Change,2016 Land area(sqmi),2016 Land Area(km2),2016 Population Density(sqmi),2016 Population Density(km2),Location,Mayor
1,New York City,New York,"8,398,748","8,175,133",+2.74,301.5,780.9,"28,317","10,933",40°39′49″N 73°56′19″W / 40.6635°N 73.9387°W / 40.6635; -73.9387 ,
2,Los Angeles,California,"3,990,456","3,792,621",+5.22,468.7,"1,213.9","8,484","3,276",34°01′10″N 118°24′39″W / 34.0194°N 118.4108°W / 34.0194; -118.4108 ,Eric Garcetti 
3,Chicago,Illinois,"2,705,994","2,695,598",+0.39,227.3,588.7,"11,900","4,600",41°50′15″N 87°40′54″W / 41.8376°N 87.6818°W / 41.8376; -87.6818 ,Lori Lightfoot 
4,Houston,Texas,"2,325,502","2,100,263",+10.72,637.5,"1,651.1","3,613","1,395",29°47′12″N 95°23′27″W / 29.7866°N 95.3909°W / 29.7866; -95.3909 ,Sylvester Turner 
5,Phoenix,Arizona,"1,660,272","1,445,632",+14.85,517.6,"1,340.6","3,120","1,200",33°34′20″N 112°05′24″W / 33.5722°N 112.0901°W / 33.5722; -112.0901 ,Kate Gallego
6,Philadelphia,Pennsylvania,"1,584,138","1,526,006",+3.81,134.2,347.6,"11,683","4,511",40°00′34″N 75°08′00″W / 40.0094°N 75.1333°W / 40.0094; -75.1333 ,Jim Kenney 
7,San Antonio,Texas,"1,532,233","1,327,407",+15.43,461.0,"1,194.0","3,238","1,250",29°28′21″N 98°31′30″W / 29.4724°N 98.5251°W / 29.4724; -98.5251 ,Ron Nirenberg 
8,San Diego,California,"1,425,976","1,307,402",+9.07,325.2,842.3,"4,325","1,670",32°48′55″N 117°08′06″W / 32.8153°N 117.1350°W / 32.8153; -117.1350 ,Kevin Faulconer 
9,Dallas,Texas,"1,345,047","1,197,816",+12.29,340.9,882.9,"3,866","1,493",32°47′36″N 96°45′59″W / 32.7933°N 96.7665°W / 32.7933; -96.7665 ,Mike Rawlings 
10,San Jose,California,"1,030,119","945,942",+8.90,177.5,459.7,"5,777",",231",37°17′48″N 121°49′08″W / 37.2967°N 121.8189°W / 37.2967; -121.8189 ,Sam Liccardo 
11,Austin,Texas,"964,254","790,390",+22.00,312.7,809.9,"3,031","1,170",30°18′14″N 97°45′16″W / 30.3039°N 97.7544°W / 30.3039; -97.7544 ,Steve Adler 
12,Jacksonville,Florida,"903,889","821,784",+9.99,747.4,"1,935.8","1,178",455,30°20′13″N 81°39′42″W / 30.3369°N 81.6616°W / 30.3369; -81.6616 ,Lenny Curry 
13,Fort Worth,Texas,"895,008","741,206",+20.75,342.9,888.1,"2,491",962,32°46′53″N 97°20′48″W / 32.7815°N 97.3467°W / 32.7815; -97.3467 ,Betsy Price 
14,Columbus,Ohio,"892,533","787,033",+13.40,218.5,565.9,"3,936","1,520",39°59′07″N 82°59′05″W / 39.9852°N 82.9848°W / 39.9852; -82.9848 ,Andrew J. Ginther 
15,San Francisco,California,"883,305","805,235",+9.70,46.9,121.5,"18,569","7,170",37°43′38″N 123°01′56″W / 37.7272°N 123.0322°W / 37.7272; -123.0322 ,London Breed 
16,Charlotte,North Carolina,"872,498","731,424",+19.29,305.4,791.0,"2,757","1,064",35°12′28″N 80°49′52″W / 35.2078°N 80.8310°W / 35.2078; -80.8310 ,Vi Lyles 
17,Indianapolis,Indiana,"867,125","820,445",+5.69,361.5,936.3,"2,366",914,39°46′36″N 86°08′45″W / 39.7767°N 86.1459°W / 39.7767; -86.1459 ,Joe Hogsett 
18,Seattle,Washington,"744,955","608,660",+22.39,83.8,17.0,"8,405","3,245",47°37′14″N 122°21′03″W / 47.6205°N 122.3509°W / 47.6205; -122.3509 ,Jenny Durkan 
19,Denver,Colorado,"716,492","600,158",+19.38,153.3,397.0,"4,521","1,746",39°45′43″N 104°52′52″W / 39.7619°N 104.8811°W / 39.7619; -104.8811 ,Michael Hancock 
20,"Washington, D.C.",District of Columbia,"702,455","601,723",+16.74,61.1,158.,"11,148","4,304",38°54′15″N 77°01′02″W / 38.9041°N 77.0172°W / 38.9041; -77.0172 ,Muriel Bowser 
21,Boston,Massachusetts,"694,583","617,594",+12.47,48.3,125.1,"13,938","5,381",42°19′55″N 71°01′13″W / 42.3320°N 71.0202°W / 42.3320; -71.0202 ,Marty Walsh 
22,El Paso,Texas,"682,669","649,121",+5.17,256.8,665.1,"2,660","1,030",31°50′54″N 106°25′37″W / 31.8484°N 106.4270°W / 31.8484; -106.4270 ,
23,Detroit,Michigan,"672,662","713,777",−5.76,138.8,359.5,"4,847","1,871",42°22′59″N 83°06′08″W / 42.3830°N 83.1022°W / 42.3830; -83.1022 ,Mike Duggan 
24,Nashville,Tennessee,"669,053","601,222",+11.28,475.9,"1,232.6","1,388",536,36°10′18″N 86°47′06″W / 36.1718°N 86.7850°W / 36.1718; -86.7850 ,David Briley 
25,Portland,Oregon,"653,115","583,776",+11.88,133.5,345.8,"4,793","1,851",45°32′13″N 122°39′00″W / 45.5370°N 122.6500°W / 45.5370; -122.6500 ,Ted Wheeler 
26,Memphis,Tennessee,"650,618","646,889",+0.58,317.4,822.1,"2,056",794,35°06′10″N 89°58′39″W / 35.1028°N 89.9774°W / 35.1028; -89.9774 ,Jim Strickland 
27,Oklahoma City,Oklahoma,"649,021","579,999",+11.90,606.3,"1,570.3","1,053",407,35°28′02″N 97°30′49″W / 35.4671°N 97.5137°W / 35.4671; -97.5137 ,David Holt 
28,Las Vegas,Nevada,"644,644","583,756",+10.43,134.4,348.1,"4,709","1,818",36°13′45″N 115°15′36″W / 36.2292°N 115.2601°W / 36.2292; -115.2601 ,Carolyn Goodman 
